status_id,created_at,text,party,source
x1007776711147212801,2018-06-16 00:07:46,this is horrible it makes me sick,D,ordinary
x1269069392723300360,2020-06-06 00:51:36,melodramandy god bless you yougotthis,R,ordinary
x1398276862992957441,2021-05-28 13:55:57,joe4jersey andrewl71505676 carole_bouchard i m sure the powers that be in tennis now regret ever agreeing to the one day delay that osaka insisted on as the price of her continuing to play in the tournament they made her believe that everything she wants will be done,R,ordinary
x1039367421830815746,2018-09-11 04:17:58,"@RepPaulTonko 
I just finished mowing the lawn to make a fitting setting for this sign. https://t.co/5HlzbUbGC6",D,political
x1313879105557807111,2020-10-07 16:29:24,"Dear @realDonaldTrump: The overwhelming majority of forrest [sic] land in CA is controlled by your federal agencies.

Also, since you believe you can win California, I highly encourage you to spend all the remaining money in your depleted campaign accounts in California. https://t.co/HmxuDp5FHB",D,political
x925112701067649026,2017-10-30 21:30:30,This great picture from @NASA shows our beautiful Upper Peninsula and its fall foliage from an incredible vantage point! https://t.co/MwZEJFzskg,D,political
x958046666573209605,2018-01-29 18:38:19,Editorial: National School Choice Week ends but school choice continues https://t.co/gx5GqAXZBZ,R,political
x1357453866695094273,2021-02-04 22:19:56,in his letter to screen actors guild he doesn t give himself credit for his emotive performance in sunset boulevard 1950 as angry unhinged recluse obsessed with old faded glories,D,ordinary
x1207444006600421378,2019-12-18 23:34:19,"I have asked Democrats in the House to stop this sham, end the charades and return to the normal work for the American people.

They didn’t listen. 

The same way they’re not listening to the 63 million Americans who voted for President Trump. https://t.co/JKO4TQ0PMZ",R,political
x666393245220528133,2015-11-16 23:11:45,"Honored to participate in surprise birthday party for Major Jack Hallett, a fighter pilot in WWII https://t.co/825elUs9o8",R,political
x1375448055193931782,2021-03-26 14:02:25,Praying for those who were injured and lost loved ones in last night’s deadly central Alabama storms. https://t.co/hYBcYHDfLd,R,political
x1283046592811905024,2020-07-14 14:32:00,"Here’s a simple slogan for 2020:
The data doesn’t lie.",D,political
x1272186868592005121,2020-06-14 15:19:20,a beautiful symbol that represents the greatest nation in the world happy flagday,R,ordinary
x1369042426250280963,2021-03-08 21:48:44,"Today we honor generations of trailblazing women who have moved our country, and our world, forward in the fight against gender-based discrimination and for full equality under the law. #InternationalWomensDay https://t.co/j3rcv2ikDl",D,political
x1322190666965913602,2020-10-30 14:56:34,america will prevail vote,D,ordinary
x895284440175345664,2017-08-09 14:03:38,"I look forward to holding a town hall meeting at @kennesawstate on Monday, Aug. 14, at 6:30 p.m. Details: https://t.co/QHrpAZqYvR",R,political
